Recom1,Recom2,Recom3,Recom4,Recom5
5.7,1.7,Sem Foto,,
1.7,4.2,Sem Foto,,
13.3,2.7,2.7,1.7,
1.8,1.8,1.8,1.8,
8.9,12.9,1.9,,
3.7,3.5,5.9,,
26.9,27.1,23.9,26.4,21.5
13.5,8.9,8.9,,
3.7,3.5,5.9,,
24.9,2.7,3.7,3.5,5.9
2.5,2.5,2.5,,
1.7,4.2,Sem Foto,,
28.9,11.9,28.1,1.7,
28.1,27.1,27.1,30.9,35.9
12.9,13.5,24.9,,
8.9,8.9,3.9,,
8.9,8.9,2.5,2.5,
1.7,4.2,Sem Foto,,
3.0,3.0,3.0,,
1.7,Sem Foto,3.1,,
3.7,3.5,5.9,,
3.7,3.5,5.9,,
17.0,18.9,18.3,,
1.7,4.2,Sem Foto,,
1.9,1.7,4.2,,
39.4,27.3,39.4,,
13.5,1.7,4.2,Sem Foto,
13.5,14.9,13.5,3.0,3.0
24.9,13.5,13.5,1.6,
28.1,3.7,27.1,27.1,30.9
27.1,27.1,35.9,,
2.5,2.5,2.5,1.9,
3.0,3.0,2.5,3.0,2.7
2.5,2.5,2.5,,
27.9,13.9,40.5,1.9,
3.0,2.5,3.0,8.9,2.5
2.5,2.5,1.7,Sem Foto,
46.5,1.7,Sem Foto,3.1,
3.7,3.5,5.9,,
27.1,3.0,8.9,3.0,8.9
27.7,26.4,21.5,35.9,
1.8,1.8,1.8,1.8,
1.7,4.2,Sem Foto,,
3.7,3.5,5.9,,
8.9,2.5,2.5,,
28.1,27.1,27.1,30.9,35.9
27.1,27.1,5.7,35.9,30.9
39.4,28.1,14.5,,
1.8,1.8,1.8,1.8,
13.5,3.7,3.5,5.9,1.9
37.6,34.1,2.7,2.5,2.5
34.1,37.9,1.9,,
8.9,8.9,2.5,1.6,
5.7,1.7,4.2,,
1.7,4.2,Sem Foto,,
13.9,17.8,13.9,,
28.9,12.5,17.9,27.7,21.5
1.7,4.2,Sem Foto,,
14.9,24.9,13.5,18.9,
13.5,3.7,3.5,5.9,
2.5,2.5,2.5,,
1.7,4.2,Sem Foto,,
3.7,17.9,1.9,9.9,
27.1,11.9,5.7,10.3,
3.7,3.5,5.9,1.9,
13.9,13.9,14.0,1.7,
36.9,34.3,3.7,12.9,
11.9,11.9,5.7,7.4,
1.7,4.2,Sem Foto,,
1.7,4.2,Sem Foto,,
8.9,2.5,2.5,,
1.7,4.2,Sem Foto,,
1.7,4.2,Sem Foto,,
1.8,1.8,1.8,1.8,
13.9,17.8,1.7,Sem Foto,
3.7,3.5,5.9,,
14.5,8.7,8.7,,
8.9,17.8,2.7,13.9,
11.9,3.9,17.9,,
39.5,37.6,37.6,14.5,11.9
1.6,3.1,1.7,Sem Foto,
2.5,2.5,2.5,,
8.9,8.9,2.5,2.5,2.5
3.7,3.5,5.9,,
30.2,25.9,3.0,3.0,1.8
5.3,1.5,8.2,13.9,5.3
27.1,27.1,35.9,30.9,3.9
1.7,Sem Foto,3.1,,
1.7,4.2,Sem Foto,,
1.7,4.2,Sem Foto,,
26.9,27.1,27.9,25.9,
8.9,24.9,8.9,16.4,38.9
28.1,2.5,2.5,30.9,35.9
28.9,27.7,21.5,,
28.9,28.1,27.1,14.0,
14.5,6.4,2.5,2.5,8.3
1.9,1.7,4.2,,
1.8,1.8,1.8,1.8,1.8
11.9,11.9,2.7,10.45,
11.9,14.0,7.4,,
3.7,3.5,5.9,,
2.1,8.9,8.9,,
8.7,3.0,14.5,10.45,
10.9,24.9,3.7,3.5,
42.2,42.2,26.4,35.9,28.4
8.9,8.9,37.9,,
3.5,5.9,9.9,,
1.9,9.9,4.2,,
35.9,29.9,14.0,,
17.5,1.8,1.8,1.8,
3.7,3.5,5.9,,
11.9,2.5,17.9,,
2.1,8.9,8.9,,
13.5,1.9,1.7,,
34.1,37.9,28.4,,
27.3,39.5,24.9,,
14.5,14.9,10.9,3.0,13.5
3.7,3.5,5.9,,
6.4,6.6,8.3,1.7,
28.9,28.1,24.9,46.5,
26.8,3.5,2.5,2.5,16.4
2.5,2.5,2.5,2.5,
2.5,2.5,2.5,2.5,
42.1,13.5,12.3,14.0,2.6
19.5,27.9,27.7,38.4,30.2
26.4,21.5,37.9,28.4,
26.9,2.5,2.5,1.8,
13.5,8.9,8.9,1.7,
27.1,13.5,3.1,27.1,13.5
3.0,3.0,3.0,1.7,Sem Foto
28.1,27.1,27.1,30.9,35.9
1.7,4.2,Sem Foto,,
26.9,26.9,1.6,,
10.9,13.5,18.9,3.7,
1.6,3.7,1.9,,
1.7,4.2,Sem Foto,,
37.9,24.9,28.4,6.3,
1.7,4.2,Sem Foto,,
3.7,3.5,5.9,,
13.5,6.4,10.9,8.7,8.7
28.9,8.9,27.1,35.9,
3.0,3.0,3.0,8.9,8.9
6.3,17.8,13.9,,
34.1,13.5,10.9,13.5,37.9
12.3,18.9,10.9,,
1.7,Sem Foto,3.1,,
1.7,Sem Foto,3.1,,
26.9,5.3,1.5,,
26.9,26.9,1.9,,
1.8,1.8,1.8,1.8,
13.5,13.5,12.9,1.9,
39.4,27.9,27.3,24.9,24.9
2.5,1.6,2.5,1.8,
1.7,4.2,Sem Foto,,
1.7,Sem Foto,3.1,,
1.7,4.2,Sem Foto,,
37.9,28.4,5.7,,
1.7,Sem Foto,3.1,,
10.45,4.2,1.7,,
3.7,3.5,5.9,,
2.7,2.7,1.7,4.2,Sem Foto
2.5,2.5,2.5,1.8,
29.2,26.8,25.9,26.9,
17.8,2.5,2.5,,
15.0,1.7,4.2,Sem Foto,
11.9,16.4,10.3,1.7,
28.9,27.7,28.1,35.9,21.5
30.2,23.5,29.2,25.9,4.2
1.7,Sem Foto,3.1,,
12.3,2.5,2.5,,
13.9,13.9,14.9,,
3.7,3.5,5.9,,
24.9,3.9,1.7,3.1,
11.9,7.4,1.8,1.8,
1.8,1.8,1.8,10.3,
3.7,3.5,5.9,,
1.7,Sem Foto,4.2,,
2.6,3.1,1.9,,
39.4,27.3,24.9,,
30.2,29.2,25.9,37.9,
26.8,25.9,6.4,10.9,
42.2,28.1,27.1,,
3.7,3.5,5.9,,
1.7,4.2,Sem Foto,,
26.9,29.5,6.3,1.7,4.2
1.8,1.8,1.8,1.8,
28.9,26.4,21.5,,
27.1,27.1,35.9,30.9,
2.5,2.5,1.7,,
2.7,2.6,1.9,,
1.7,4.2,Sem Foto,,
42.2,30.2,29.2,42.2,25.9
6.6,4.2,3.9,3.1,
2.5,1.6,13.5,10.45,
13.5,3.9,14.0,1.9,
1.7,Sem Foto,3.1,,
1.7,4.2,Sem Foto,,
3.7,3.5,5.9,,
1.7,4.2,Sem Foto,,
12.9,12.5,1.9,,
1.7,4.2,Sem Foto,,
6.4,23.9,9.0,,
16.4,13.5,3.1,15.0,23.9
11.9,14.0,3.0,3.0,
42.2,39.5,23.5,27.9,25.9
13.9,17.8,38.9,,
12.3,17.0,1.8,1.8,
12.5,38.9,1.7,Sem Foto,
1.7,4.2,Sem Foto,,
12.9,3.1,3.1,1.9,
12.3,13.5,1.7,4.2,Sem Foto
13.5,6.6,3.9,1.5,
2.7,7.4,1.7,Sem Foto,
13.5,28.1,25.9,12.5,18.9
1.8,1.8,1.8,1.8,
3.0,24.9,5.7,3.9,
24.9,24.9,46.5,,
36.9,34.3,6.6,,
1.7,Sem Foto,4.2,,
3.7,3.5,5.9,,
8.7,8.7,1.7,,
8.9,8.9,8.7,,
1.6,5.7,2.5,2.5,
13.5,18.3,1.6,,
13.5,14.9,18.9,,
1.7,4.2,Sem Foto,,
27.9,29.5,25.9,35.9,
3.7,3.5,5.9,1.7,Sem Foto
28.1,27.1,27.1,,
10.8,13.9,16.4,,
1.7,4.2,Sem Foto,,
28.1,27.1,27.1,35.9,
1.8,1.8,1.8,,
16.4,28.9,17.4,28.1,
30.2,29.2,25.9,,
2.5,2.5,2.5,2.5,
16.4,10.45,16.4,,
1.8,1.8,1.8,1.8,1.8
1.8,1.8,1.8,1.8,
3.7,3.5,5.9,,
28.9,28.1,13.9,,
3.7,3.5,5.9,,
2.5,24.9,2.5,7.4,
3.7,3.5,5.9,,
5.7,3.1,1.9,,
2.5,2.5,13.5,2.5,
1.8,1.8,1.8,1.8,1.8
49.9,6.6,2.5,17.9,2.5
13.9,8.7,,1.8,8.7
28.9,27.7,17.0,5.7,
11.9,14.9,7.4,,
6.6,12.9,8.7,8.7,1.9
29.2,26.8,25.9,2.1,3.5
1.7,4.2,Sem Foto,,
13.5,12.9,2.7,,
3.7,4.5,3.5,5.9,
39.4,27.3,39.4,28.4,
34.1,3.0,3.0,10.3,
24.9,24.9,46.5,16.9,
38.9,1.7,Sem Foto,,
27.7,10.7,1.8,1.8,
30.2,29.2,26.8,,
14.9,18.9,13.5,5.3,1.5
12.0,6.4,1.8,1.8,
13.9,17.8,13.9,,
1.8,1.8,1.8,1.8,
42.2,14.9,42.2,,
1.7,Sem Foto,3.1,,
3.7,3.5,5.9,,
16.5,17.4,46.6,12.9,3.5
29.2,26.8,25.9,8.9,8.9
17.4,2.8,15.5,15.5,9.9
2.5,2.5,4.2,,
23.9,2.6,4.5,16.9,
18.9,3.7,3.5,,
3.0,3.7,1.9,,
34.3,26.9,26.9,,
2.6,4.5,3.9,,
39.4,39.4,23.9,1.8,
30.2,29.2,26.8,1.6,1.7
28.9,27.7,26.4,,
3.0,3.0,3.0,,
2.5,2.5,2.5,,
18.3,17.9,1.9,,
18.9,5.7,3.1,1.9,
2.7,2.7,1.7,Sem Foto,
27.7,11.9,12.5,13.5,13.5
1.8,1.8,1.8,1.8,
3.7,3.5,5.9,,
1.7,4.2,Sem Foto,,
1.7,4.2,Sem Foto,,
13.9,Sem Foto,13.9,17.8,
18.9,3.9,1.7,4.2,
8.9,2.5,2.5,2.5,
6.4,6.6,9.0,,
28.9,9.9,3.0,3.0,27.1
46.6,18.9,6.3,,
17.0,3.7,3.9,1.7,
1.7,Sem Foto,3.1,,
25.9,26.9,16.4,1.9,
10.9,15.9,16.5,,
6.3,16.4,13.5,1.8,35.9
29.5,8.9,8.9,,
1.7,4.2,Sem Foto,,
1.8,1.8,1.8,1.8,
6.6,14.0,3.9,1.7,
3.7,3.5,5.9,,
27.1,27.1,35.9,30.9,1.6
25.9,25.9,2.7,2.7,
28.9,27.1,27.1,35.9,30.9
11.9,25.9,16.6,,
14.0,11.9,2.5,2.5,
28.7,25.9,10.9,26.9,
42.1,12.3,2.5,16.6,
27.3,39.5,24.9,1.6,1.7
26.9,27.1,28.9,27.7,26.4
26.9,26.9,27.1,,
2.5,2.5,3.9,,
27.7,26.4,21.5,,
1.4,15.0,1.5,13.9,2.5
1.6,2.5,2.5,,
3.7,3.5,5.9,,
40.5,38.4,42.1,13.5,
1.7,Sem Foto,3.1,,
16.4,3.7,3.5,5.9,5.3
1.7,Sem Foto,38.9,,
3.9,1.7,Sem Foto,,
6.3,5.3,1.5,1.7,
16.4,1.7,4.2,Sem Foto,
27.7,26.4,21.5,,
2.5,2.5,2.5,,
3.7,3.5,5.9,,
28.9,28.1,27.1,1.9,
10.8,13.9,17.8,13.9,3.9
30.2,6.4,29.2,26.8,1.7
3.7,3.5,5.9,,
1.8,1.8,1.8,1.8,1.8
1.8,1.8,1.8,1.8,1.8
3.0,3.0,8.9,8.9,
5.7,1.9,1.7,,
15.5,2.5,2.5,,
28.9,26.4,21.5,,
13.9,17.8,14.0,,
11.9,2.5,2.5,2.5,
39.5,46.6,5.7,2.5,2.5
8.9,46.5,1.6,38.9,
14.9,1.7,4.2,Sem Foto,
3.0,3.0,2.5,2.5,2.5
3.0,8.9,3.0,,
14.5,10.9,2.5,26.9,2.5
1.8,1.8,1.8,1.8,
26.8,13.5,1.7,4.2,
27.1,1.8,30.9,,
14.9,2.7,1.8,2.7,
1.6,1.5,1.9,,
1.7,Sem Foto,3.1,,
3.5,14.0,3.1,3.1,
11.9,1.4,1.5,,10.45
15.29,13.9,17.8,,
30.2,29.2,38.9,,
28.7,25.9,29.5,,
2.7,2.7,1.9,,
1.7,4.2,Sem Foto,,
27.1,35.9,30.9,1.7,
11.9,2.1,7.4,,
2.5,2.1,2.5,,
28.9,28.1,27.9,21.5,25.9
16.4,17.5,28.9,28.1,27.1
28.1,27.1,35.9,,
13.9,17.8,13.9,,
8.1,13.5,10.9,2.5,2.5
23.5,12.3,24.9,13.5,13.9
2.6,4.5,1.9,,
10.9,15.9,16.5,,
16.4,28.7,25.9,29.5,3.9
13.9,17.8,13.9,,
2.5,2.5,2.5,2.5,
11.9,13.9,17.8,13.9,
28.9,28.1,27.9,25.9,27.1
13.5,12.9,14.0,,
34.3,13.5,41.5,27.1,
3.9,5.3,1.5,,
13.5,12.9,3.7,,
1.7,4.2,Sem Foto,,
26.9,23.9,38.9,,
5.3,1.5,8.2,8.2,13.9
2.5,2.5,2.5,2.5,
2.8,1.8,1.8,1.8,
36.9,11.9,14.0,12.3,11.9
6.4,20.8,17.8,8.3,13.9
36.9,34.1,26.9,34.3,23.9
40.5,35.9,1.9,,
1.7,Sem Foto,38.9,,
17.9,1.8,1.8,,
28.9,14.9,27.7,21.5,
24.9,13.5,5.7,,
6.3,3.1,1.9,,
34.1,37.9,38.9,,
2.5,2.5,2.5,,
3.0,3.0,3.0,,
13.5,13.5,3.7,38.9,
2.5,2.5,3.1,5.3,
1.6,2.7,7.4,,
28.9,27.7,18.3,1.9,
1.7,Sem Foto,3.1,,
1.7,4.2,Sem Foto,,
1.7,4.2,Sem Foto,,
3.7,3.5,5.9,,
1.4,1.5,1.8,5.7,3.9
,15.9,16.5,,
6.4,8.3,2.5,2.5,
3.7,3.5,5.9,,
1.7,4.2,Sem Foto,,
1.7,4.2,Sem Foto,,
28.9,27.7,26.4,,
3.7,3.5,5.9,,
13.5,12.3,8.9,,
26.9,1.7,Sem Foto,,
1.8,1.8,1.8,1.8,
1.7,4.2,Sem Foto,,
3.0,3.0,5.7,,
14.0,8.9,1.8,1.8,
2.1,12.9,16.9,,
6.6,2.7,1.7,38.9,
1.5,1.8,1.8,,
28.9,28.1,27.1,,
1.7,Sem Foto,3.1,,
3.7,3.5,5.9,,
26.9,34.1,26.9,,
28.1,13.9,17.8,13.9,35.9
1.7,4.2,Sem Foto,,
12.5,1.7,38.9,,
12.9,38.9,1.7,Sem Foto,
6.3,1.9,38.9,,
46.5,14.5,11.9,,
1.7,4.2,Sem Foto,,
18.9,3.7,5.9,9.9,
49.9,3.7,3.5,,
24.9,5.7,13.9,,
1.7,4.2,Sem Foto,,
13.5,13.5,13.5,3.9,
5.7,2.7,1.9,,
27.1,27.1,30.9,,
13.5,13.5,13.5,,
2.5,2.5,2.5,2.5,3.9
21.5,46.5,1.9,,
27.9,13.5,13.5,,
2.8,5.7,1.9,,
2.5,2.5,1.8,2.5,1.8
29.1,10.45,1.9,,
10.45,2.5,2.5,2.5,2.5
37.6,37.6,3.0,2.5,
3.7,3.5,5.9,,
2.5,2.5,2.5,2.5,
13.5,13.5,13.5,13.5,1.9
28.9,28.1,27.1,2.7,2.7
26.9,38.4,27.1,34.1,35.9
14.0,5.3,1.5,1.7,
39.4,27.3,39.4,,
2.5,2.5,2.5,,
2.1,8.9,8.9,,
10.45,2.5,2.5,,
14.0,5.3,1.5,9.9,
16.4,13.5,2.5,3.7,2.5
5.3,1.5,1.7,1.9,
2.5,8.7,1.7,,
10.7,6.4,12.3,8.3,
39.4,17.5,39.4,2.5,24.9
26.4,2.6,4.5,,
3.7,3.5,5.9,,
16.4,1.7,Sem Foto,,
1.7,4.2,Sem Foto,,
1.4,13.5,2.7,1.8,
1.8,1.8,1.8,,
14.0,3.0,3.0,18.9,5.3
26.4,21.5,1.7,,
3.7,3.5,5.9,,
1.9,17.9,Sem Foto,,
1.8,1.8,1.8,1.8,
1.6,2.5,2.5,,
2.5,2.5,2.5,2.5,3.7
8.7,28.9,11.9,24.9,
28.9,15.0,27.1,35.9,30.9
3.7,2.6,4.5,3.5,5.9
2.8,15.0,29.9,,
1.8,3.9,1.7,4.2,
12.3,10.45,9.9,1.7,
8.7,17.8,8.7,13.9,
13.5,13.5,13.5,,
2.5,2.5,2.5,,
35.9,12.3,29.9,2.5,2.5
27.1,27.1,35.9,,
5.3,1.5,8.2,8.2,13.9
39.4,27.3,39.4,,
3.7,4.2,1.9,,
39.4,28.4,35.9,15.9,16.5
29.2,25.9,6.3,2.6,4.5
1.8,1.8,1.8,1.8,
1.7,3.1,1.9,,
13.5,13.5,8.9,8.9,
15.0,1.6,1.7,4.2,
2.7,3.7,3.5,5.9,
13.5,,1.8,1.8,
26.8,25.9,4.2,,
2.5,16.9,5.3,1.5,8.2
2.5,2.5,3.9,,
2.5,2.5,1.6,,
3.7,3.5,5.9,,
15.4,1.9,1.7,,
3.7,3.5,5.9,,
15.5,15.5,1.7,4.2,
2.5,11.9,10.3,,
3.7,3.5,5.9,,
3.7,3.5,5.9,,
28.9,28.1,28.4,27.1,
3.7,3.5,5.9,,
3.0,3.0,1.9,5.3,
1.8,1.8,1.8,1.8,
42.1,11.9,2.5,10.45,2.5
28.9,27.7,13.5,21.5,16.4
17.8,16.4,13.9,,
8.9,8.9,3.5,5.9,
37.6,37.6,10.45,,
5.3,1.5,1.7,,
1.7,4.2,Sem Foto,,
1.7,4.2,Sem Foto,,
36.9,34.3,28.1,27.1,27.1
10.9,16.4,3.9,,
32.5,3.7,3.5,5.9,
17.9,3.1,2.5,2.5,
15.0,10.45,2.7,2.7,1.9
1.7,4.2,Sem Foto,,
13.9,17.8,13.9,,
39.4,39.4,24.9,13.9,17.8
28.9,28.9,27.7,26.4,27.1
3.7,3.5,5.9,,
6.3,1.6,1.5,,
12.5,5.3,1.5,8.2,8.2
1.8,1.8,1.8,15.9,
6.6,12.5,28.9,10.9,27.7
3.7,3.5,5.9,,
30.2,29.2,25.9,2.5,
6.6,32.5,30.2,28.1,29.2
3.7,3.5,5.9,,
24.9,26.9,1.9,3.1,
13.5,1.7,4.2,Sem Foto,
42.2,25.9,39.5,23.9,26.9
17.5,26.9,26.9,9.9,
16.4,17.4,13.5,3.1,
38.4,17.5,13.5,13.5,13.5
3.7,3.5,5.9,,
2.1,2.5,13.9,,
28.1,13.5,35.9,3.5,27.1
13.5,13.5,1.9,,
3.7,3.5,5.9,,
8.9,2.5,3.7,2.5,2.5
1.8,1.8,1.8,1.8,1.8
3.7,11.9,1.9,,
27.1,10.9,1.7,Sem Foto,
24.9,1.7,Sem Foto,,
28.9,25.9,26.4,21.5,13.5
3.7,3.5,5.9,,
26.9,26.9,37.9,13.5,
49.9,5.7,,,
3.7,3.5,5.9,3.9,
3.7,3.5,5.9,,
3.7,3.5,5.9,,
10.9,10.9,2.7,2.7,
5.3,1.5,1.9,8.2,8.2
24.9,26.9,13.5,3.9,
35.9,29.9,16.9,3.1,
1.7,Sem Foto,3.1,,
3.7,1.7,4.2,Sem Foto,
1.9,1.7,4.2,,
3.7,3.5,5.9,,
1.6,1.6,1.8,2.6,1.8
11.9,12.3,34.1,17.8,13.9
3.7,3.5,5.9,,
8.7,38.4,11.9,35.9,
37.6,37.6,37.9,,
2.5,2.5,2.5,2.5,3.9
3.7,3.5,5.9,,
24.9,26.9,26.9,24.9,46.5
14.5,13.5,3.7,3.5,
39.4,27.3,24.9,,
15.0,38.9,1.7,Sem Foto,
11.9,17.0,2.5,2.5,
13.5,1.7,Sem Foto,,
19.5,29.2,39.4,25.9,26.8
35.9,37.9,29.9,1.7,
1.7,4.2,Sem Foto,,
3.7,3.5,5.9,1.7,Sem Foto
2.5,2.5,2.5,,
1.7,Sem Foto,3.1,,
1.7,Sem Foto,3.1,,
6.8,11.9,46.5,,
3.0,13.9,3.0,17.8,
5.3,1.5,1.9,8.2,
3.7,3.5,5.9,,
17.9,1.7,Sem Foto,,
25.9,1.7,Sem Foto,,
1.7,Sem Foto,3.1,,
2.1,1.7,Sem Foto,3.1,
37.6,34.1,1.9,,
3.0,3.0,1.7,Sem Foto,
38.9,1.7,Sem Foto,,
1.7,4.2,Sem Foto,,
39.4,27.3,39.4,,
34.1,37.9,28.4,,
12.5,1.6,38.9,,
3.7,3.5,5.9,,
1.7,4.2,Sem Foto,,
2.5,1.6,2.5,1.6,3.1
3.7,3.5,5.9,14.0,
2.5,2.5,2.5,,
12.3,15.9,16.5,,
1.8,1.8,1.6,1.8,
28.9,27.7,21.5,,
2.1,11.9,11.9,8.9,8.9
3.7,13.5,1.7,4.2,
3.7,3.5,5.9,,
6.6,15.0,16.4,10.3,
27.9,25.9,29.9,,
2.5,2.5,15.5,15.5,
1.7,4.2,Sem Foto,,
3.0,8.9,8.9,3.0,2.7
24.9,28.9,27.7,26.4,
13.5,1.7,Sem Foto,,
13.5,9.9,1.7,,
1.8,1.8,1.8,1.8,1.8
13.5,3.7,24.9,2.5,2.5
3.7,3.5,5.9,,
3.7,3.5,5.9,,
1.8,1.8,1.8,1.8,
2.5,2.5,2.5,,
27.1,27.1,16.4,35.9,30.9
14.9,1.9,9.9,,
7.4,4.5,1.5,,
2.5,3.0,3.0,2.5,3.0
7.5,8.9,1.7,,
14.5,8.7,1.4,6.6,
2.7,3.7,3.5,5.9,
3.0,3.0,3.9,1.7,
37.6,37.6,27.1,35.9,30.9
10.9,8.9,8.9,18.9,
14.9,1.8,1.8,1.8,
8.9,21.5,1.6,,
28.9,27.7,27.1,27.1,21.5
1.7,Sem Foto,3.1,,
2.8,1.4,1.5,14.0,
14.9,3.5,18.9,1.9,
1.6,1.5,1.7,4.2,
1.8,1.8,1.8,1.8,
41.5,10.9,9.0,,
1.6,1.7,Sem Foto,3.1,
13.9,17.8,3.9,,
3.7,3.5,5.9,,
5.3,1.9,8.2,8.2,
3.7,3.5,5.9,1.7,
2.7,2.7,14.0,,
12.5,10.9,24.9,10.9,12.9
1.6,2.5,2.5,2.5,
29.2,39.4,38.4,26.8,25.9
1.8,1.8,1.8,1.8,
3.0,3.0,3.0,3.9,1.7
25.9,34.1,25.9,3.7,3.5
17.5,6.6,12.5,1.8,
2.5,1.8,1.8,1.8,
27.7,34.1,42.1,24.9,26.4
27.1,27.1,35.9,30.9,
2.1,1.7,1.9,,
35.9,29.9,3.5,5.9,
24.9,26.9,13.5,3.9,1.5
3.7,3.5,5.9,,
1.8,1.8,1.8,1.8,1.8
30.2,29.2,25.9,2.7,
2.5,2.5,1.9,,
3.1,1.9,9.9,,
49.9,1.8,1.8,1.8,
2.5,2.5,2.5,38.9,
37.6,28.9,29.1,37.6,27.7
2.5,2.5,2.5,,
2.5,2.5,2.5,,
1.5,8.2,8.2,13.9,5.3
13.5,13.5,13.5,11.9,
28.1,27.1,30.9,35.9,
39.4,39.4,28.9,27.7,24.9
46.6,24.9,3.1,5.3,1.5
37.9,28.4,3.9,,
38.4,35.9,29.9,,
2.5,2.5,2.5,,
10.9,3.7,3.5,5.9,
13.5,3.7,5.9,,
3.7,3.5,5.9,,
12.3,17.0,9.9,,
2.5,2.5,2.5,,
1.7,Sem Foto,3.1,,
13.5,6.6,15.0,,
1.7,4.2,Sem Foto,,
14.9,3.7,3.5,5.9,
3.9,5.3,1.5,8.2,8.2
3.5,5.9,9.9,,
3.9,1.7,Sem Foto,,
12.3,2.5,2.5,2.5,
10.9,28.1,28.7,25.9,26.9
3.1,3.1,1.9,,
27.1,27.1,1.8,35.9,30.9
1.8,1.8,1.8,1.8,
3.7,3.5,5.9,,
27.1,35.9,30.9,,
13.5,1.7,9.9,,
3.7,1.7,Sem Foto,,
28.7,25.9,26.9,27.1,
2.5,1.7,Sem Foto,,
5.3,1.5,8.2,8.2,13.9
13.5,13.5,13.9,17.8,13.9
1.7,4.2,Sem Foto,,
2.5,2.5,2.5,2.5,1.7
1.8,1.8,1.8,1.8,1.8
13.5,16.4,3.9,1.7,
1.5,8.2,8.2,13.9,
2.5,2.5,2.5,,
1.7,4.2,Sem Foto,,
15.0,14.0,1.7,4.2,Sem Foto
27.1,3.5,1.6,1.5,
13.5,11.9,12.9,11.9,
1.8,1.8,1.8,1.8,
38.4,35.9,24.9,29.9,
28.9,15.29,28.1,3.5,
37.6,13.5,34.1,14.0,
14.5,13.5,7.4,,
13.9,26.9,17.8,13.9,1.6
3.7,3.5,5.9,,
28.9,28.1,1.6,,
9.0,1.6,1.5,,
1.7,Sem Foto,3.1,,
18.9,1.7,Sem Foto,,
36.9,36.9,11.9,1.6,10.3
13.5,13.5,4.2,,
13.5,15.4,38.9,,
11.9,6.4,10.9,6.4,9.0
11.9,3.0,3.0,12.9,
28.9,2.8,28.1,2.1,
28.1,27.1,27.1,30.9,35.9
3.0,3.0,3.0,26.9,
28.1,25.9,27.1,27.1,30.9
34.1,37.9,28.4,1.7,
13.5,11.9,1.8,1.8,
17.4,15.5,1.9,,
2.5,1.8,1.8,1.8,1.8
12.5,28.9,27.7,26.4,
10.9,17.0,2.5,,
2.5,2.5,2.5,2.5,
16.4,13.5,3.1,,
3.7,3.5,5.9,,
1.7,Sem Foto,3.1,,
30.2,29.2,26.8,25.9,
1.7,4.2,Sem Foto,,
27.1,35.9,30.9,,
37.6,37.6,2.8,17.8,
11.9,24.9,1.8,1.8,1.8
27.1,27.1,35.9,30.9,
13.5,13.5,26.9,16.6,2.5
42.1,2.5,13.5,16.4,2.5
3.7,3.5,5.9,,
37.6,28.1,34.1,27.1,
3.7,3.5,5.9,,
5.3,1.5,1.7,,
1.8,1.8,1.8,1.8,
13.5,13.5,15.5,15.5,1.7
